time, number of rows, filesize (MB)
2024-02-03 06:40:58.930380, 220464, 100.601856
2024-02-03 06:42:58.942179, 220608, 100.667392
2024-02-03 06:44:58.984700, 220766, 100.737024
2024-02-03 06:46:59.025194, 220928, 100.810752
2024-02-03 06:48:59.002557, 221096, 100.888576
2024-02-03 06:50:59.052689, 221267, 100.9664
2024-02-03 06:52:59.078771, 221441, 101.044224
2024-02-03 06:54:59.231209, 221617, 101.126144
2024-02-03 06:56:59.245749, 221806, 101.21216
2024-02-03 06:58:59.284431, 221998, 101.302272
2024-02-03 07:00:59.370713, 222202, 101.39648
2024-02-03 07:02:59.458948, 222416, 101.494784
2024-02-03 07:04:59.633555, 222632, 101.593088
2024-02-03 07:06:59.644158, 222850, 101.691392
2024-02-03 07:08:59.691892, 223074, 101.793792
2024-02-03 07:10:59.791731, 223298, 101.896192
2024-02-03 07:12:59.836577, 223522, 101.994496
2024-02-03 07:15:00.004523, 223758, 102.105088
2024-02-03 07:17:00.016543, 224008, 102.21568
2024-02-03 07:19:00.102046, 224271, 102.33856
2024-02-03 07:21:00.138091, 224551, 102.465536
2024-02-03 07:23:00.235399, 224845, 102.596608
2024-02-03 07:25:00.428274, 225141, 102.731776
2024-02-03 07:27:00.428415, 225438, 102.87104
2024-02-03 07:29:00.473534, 225734, 103.006208
2024-02-03 07:31:00.565706, 226043, 103.149568
2024-02-03 07:33:00.631671, 226363, 103.292928
2024-02-03 07:35:00.853364, 226691, 103.44448
2024-02-03 07:37:00.898301, 227019, 103.591936
2024-02-03 07:39:00.913727, 227339, 103.739392
2024-02-03 07:41:00.929340, 227664, 103.886848
2024-02-03 07:43:01.249732, 227991, 104.034304
2024-02-03 07:45:01.241186, 228323, 104.185856
2024-02-03 07:47:01.249829, 228667, 104.341504
2024-02-03 07:49:01.275173, 229023, 104.50944
2024-02-03 07:51:01.336722, 229382, 104.67328
2024-02-03 07:53:01.414066, 229741, 104.833024
2024-02-03 07:55:01.583462, 230090, 104.992768
2024-02-03 07:57:01.597182, 230449, 105.156608
2024-02-03 07:59:01.974518, 230826, 105.32864
2024-02-03 08:01:01.998901, 231227, 105.51296
2024-02-03 08:03:02.007225, 231639, 105.69728
2024-02-03 08:05:01.998647, 232055, 105.889792
2024-02-03 08:07:02.020389, 232471, 106.078208
2024-02-03 08:09:02.045310, 232871, 106.262528
2024-02-03 08:11:02.148142, 233278, 106.446848
2024-02-03 08:13:02.165981, 233688, 106.635264
2024-02-03 08:15:02.417248, 234087, 106.815488
2024-02-03 08:17:02.431036, 234525, 107.016192
2024-02-03 08:19:08.342858, 234976, 107.220992
2024-02-03 08:21:08.352660, 235413, 107.421696
2024-02-03 08:23:08.362645, 235856, 107.6224
2024-02-03 08:25:08.366494, 236252, 107.80672
2024-02-03 08:27:08.377355, 236718, 108.019712
2024-02-03 08:29:08.386269, 237202, 108.2368
2024-02-03 09:57:25.145721, 237462, 108.355584
2024-02-03 09:59:24.280193, 238035, 108.617728
2024-02-03 10:01:24.284833, 238633, 108.888064
2024-02-03 10:03:24.276527, 239233, 109.162496
2024-02-03 10:05:24.311914, 239832, 109.441024
2024-02-03 10:07:24.441553, 240424, 109.707264
2024-02-03 10:09:24.462705, 241028, 109.985792
2024-02-03 10:11:24.548796, 241650, 110.268416
2024-02-03 10:13:24.610368, 242288, 110.559232
2024-02-03 10:15:24.789624, 242934, 110.850048
2024-02-03 10:17:24.801717, 243580, 111.149056
2024-02-03 10:19:24.821270, 244228, 111.443968
2024-02-03 10:21:24.978598, 244885, 111.742976
2024-02-03 10:23:25.333104, 245540, 112.041984
2024-02-03 10:25:25.374710, 246196, 112.340992
2024-02-03 10:27:25.424369, 246856, 112.64
2024-02-03 10:29:25.456970, 247518, 112.9472
2024-02-03 10:31:25.455023, 248177, 113.246208
2024-02-03 10:33:25.469917, 248842, 113.549312
2024-02-03 10:35:25.501457, 249516, 113.856512
2024-02-03 10:37:25.876382, 250198, 114.163712
2024-02-03 10:39:25.911073, 250867, 114.475008
2024-02-03 10:41:25.919792, 251548, 114.782208
2024-02-03 10:43:25.928157, 252247, 115.101696
2024-02-03 10:45:25.906320, 252950, 115.421184
2024-02-03 10:47:26.128473, 253669, 115.748864
2024-02-03 10:49:26.148476, 254410, 116.088832
2024-02-03 10:51:26.348245, 255155, 116.4288
2024-02-03 10:53:26.387914, 255884, 116.760576
2024-02-03 10:55:26.375191, 256604, 117.088256
2024-02-03 10:57:26.510031, 257322, 117.415936
2024-02-03 10:59:26.541604, 258049, 117.751808
2024-02-03 11:01:26.534890, 258787, 118.08768
2024-02-03 11:03:26.586642, 259522, 118.419456
2024-02-03 11:05:26.644572, 260274, 118.76352
2024-02-03 11:07:26.893781, 261026, 119.107584
